key,ts,value
battery_level,1449344421.21,100
battery_level,1449346058.27,100
battery_level,1449347445.17,100
battery_level,1449350031.81,97
battery_level,1449351177.08,95
battery_level,1449353783.33,92
battery_level,1449355565.36,90
battery_level,1449358035.45,87
battery_level,1449360197.09,84
battery_level,1449362139.40,82
battery_level,1449364005.06,80
battery_level,1449365528.91,78
battery_level,1449367502.49,75
battery_level,1449369395.97,73
battery_level,1449371079.30,70
battery_level,1449373086.25,68
battery_level,1449375803.89,64
battery_level,1449378325.67,61
battery_level,1449379349.33,59
battery_level,1449417086.49,18
battery_level,1449419362.33,15
battery_level,1449422516.95,55
battery_level,1449424277.91,55
battery_level,1449425398.94,53
battery_level,1449427733.24,51
battery_level,1449430065.18,48
battery_level,1449430962.88,47
battery_level,1449432066.29,45
